freq,gls,usurper,pdc_unbiased,shape_periodogram,shift_periodogram
0.5888412017167417,0.013687642119178544,0.02351106290739438,0.02261135974472929,0.0063083620623970195,0.010642366651801247
0.5889842632331939,0.01579793706917538,0.06968227340988456,0.06532065254639098,0.02356134804346408,0.0268933897243116
0.5891273247496459,0.016662806287387807,0.08743543739841034,0.08203279610098367,0.0316733632862463,0.032309563723265385
0.589270386266098,0.016579565021212425,0.03789534029526773,0.036613227097592765,0.014369448711933875,0.014182194687812835
0.58941344778255,0.016132454558463846,0.005205237107465442,0.006968237243812969,0.0007150908573587365,0.004184249234667132
0.5895565092990022,0.015967562179248954,0.015670620450780905,0.017652204459091634,0.0009007758344412736,0.01127169409835799
0.5896995708154542,0.016634984168757926,0.013010971602440073,0.01703830794847375,-0.002072477445513252,0.013046876621852116
0.5898426323319063,0.018411277286627423,0.025327690321936103,0.027270472786652476,0.001114042288262607,0.01762023738410234
0.5899856938483583,0.02108112224415393,0.05831612787595334,0.05953756811109211,0.007122727676750241,0.03505465422431436
0.5901287553648105,0.02387180992264213,0.054606595625395944,0.05647569757289002,0.006029710163105087,0.03378145575077527
0.5902718168812625,0.025749883715420984,0.022798871089164768,0.02223859618496787,0.0019837378803424515,0.013575839337236198
0.5904148783977146,0.025896046160619447,0.01628241251242032,0.015901498747885896,0.006193194067714101,0.00618867857367407
0.5905579399141666,0.023982177145075157,0.03562382393767874,0.03371139546936137,0.015519675446095069,0.011369759179341599
0.5907010014306188,0.020212697278556794,0.03590576475496682,0.032568855971141446,0.018993587273848214,0.00803691183274374
0.5908440629470708,0.015277427335467471,0.044067557578627695,0.037958558838108315,0.024847632865750688,0.007375040167202367
0.5909871244635229,0.010205919973477575,0.05006868313762596,0.046384330934198054,0.02141637141139082,0.01561465776792563
0.5911301859799749,0.006104680251063752,0.022092182500957857,0.020143694603049437,0.007467872723393246,0.008118874614595897
0.5912732474964271,0.003863891261360869,0.0010736499698301143,-0.0037284122471148303,0.005030961527504397,-0.006227636869939861
0.5914163090128791,0.0038556107078348335,0.014014506325507454,0.011408945422298436,0.011750169336707262,-0.0009441067307912407
0.5915593705293312,0.005689280134965108,0.0321779486235693,0.03022763517645456,0.017831386822568893,0.007307840486712707
0.5917024320457832,0.00832498872212367,0.03186446710748939,0.02757623359483423,0.01894380655249007,0.004693195905394496
0.5918454935622354,0.010630595264445753,0.03709923337468309,0.034549173751962,0.019097359663414804,0.009301667519334169
