unique_id,instrument,bjd,rv,rv_err,fwhm,contrast,BIS
00644412,Hermes,57184.6180484,-3.59518442294,0.052,19.4743617724,0.35,-1.57634657661
00644418,Hermes,57184.6329041,-3.44336884588,0.052,19.5214581733,0.35,-1.58363660033
00644419,Hermes,57184.6357981,-3.39018442294,0.052,19.5450063738,0.35,-1.57622589558
00644420,Hermes,57184.638692,-3.36836884588,0.052,19.5450063738,0.35,-1.57771270873
00644421,Hermes,57184.6415862,-3.34036884588,0.052,19.5685545742,0.35,-1.59299775891
00644422,Hermes,57184.64448,-3.30536884588,0.052,19.5685545742,0.35,-1.56989835866
00644423,Hermes,57184.647374,-3.28136884588,0.052,19.5921027747,0.35,-1.58214458055
00644424,Hermes,57184.6502681,-3.24736884588,0.052,19.5921027747,0.35,-1.58708470465
00644425,Hermes,57184.6531623,-3.21236884588,0.052,19.5921027747,0.35,-1.57983704347
00644426,Hermes,57184.6560564,-3.16081557706,0.053,19.6391991756,0.35,-1.58129402663
00644427,Hermes,57184.6589509,-3.13081557706,0.053,19.6391991756,0.35,-1.58729774377
00644428,Hermes,57184.6618447,-3.08163115412,0.053,19.662747376,0.35,-1.59301256128
00644429,Hermes,57184.6647392,-3.06181557706,0.053,19.662747376,0.35,-1.57739139567
00644430,Hermes,57184.6676331,-3.02981557706,0.053,19.6862955765,0.35,-1.59625299381
00644431,Hermes,57184.6705276,-3.013,0.053,19.6862955765,0.35,-1.5901753379
00644433,Hermes,57184.676316,-2.93481557706,0.053,19.7333919774,0.34,-1.59962747137
00644434,Hermes,57184.6792103,-2.916,0.053,19.7333919774,0.34,-1.60424576601
00644435,Hermes,57184.6821042,-2.883,0.053,19.7569401778,0.34,-1.59648322356
00644436,Hermes,57184.6849984,-2.82281557706,0.053,19.7569401778,0.34,-1.60688398851
00644437,Hermes,57184.6878922,-2.811,0.053,19.7804883783,0.34,-1.60578114616
00644439,Hermes,57184.6931692,-2.744,0.053,19.8040365787,0.34,-1.60448107609
00644440,Hermes,57184.6960627,-2.72418442294,0.054,19.8275847792,0.34,-1.61350871218
00644441,Hermes,57184.6989561,-2.673,0.054,19.8275847792,0.34,-1.60965382854
00644442,Hermes,57184.7018506,-2.65818442294,0.054,19.8511329796,0.34,-1.61188571979
00644443,Hermes,57184.7047445,-2.62318442294,0.054,19.8511329796,0.34,-1.61447490687
00644444,Hermes,57184.7076382,-2.59318442294,0.054,19.8746811801,0.34,-1.61764252216
00644660,Hermes,57185.5908765,-2.35236884588,0.086,24.5372248692,0.24,-1.77493661178
00644677,Hermes,57185.7235394,-9.905,0.076,23.00659184,0.24,-1.11153722127
00644926,Hermes,57186.5922629,-34.9371844229,0.073,19.6156509751,0.21,0.669550979189
00644944,Hermes,57186.7215222,-34.176,0.067,19.2859761688,0.22,0.512499702337
00645076,Hermes,57188.6137281,-16.1331844229,0.034,13.9405346666,0.4,-0.687000738101
00666146,Hermes,57286.4434986,-5.08681557706,0.045,18.8385603602,0.35,-1.4002032413
00666802,Hermes,57287.3758683,1.89636884588,0.083,24.0662608602,0.26,-2.50311338262
00667661,Hermes,57289.6350454,-25.8493688459,0.034,15.0943964886,0.32,-0.10513198708
00667890,Hermes,57290.6606139,-15.4971844229,0.032,13.964082867,0.39,-0.607151762582
00667978,Hermes,57291.3645347,-8.86781557706,0.039,16.9547043242,0.37,-1.22360527231
00668873,Hermes,57293.4461831,-32.1028155771,0.067,19.9453257814,0.2,0.805361105888
00719623,Hermes,57567.5244808,-36.0576311541,0.077,19.8275847792,0.2,0.976420050892
00719634,Hermes,57567.5956389,-35.5328155771,0.074,19.662747376,0.21,0.81297187417
00719723,Hermes,57567.6839529,-35.0333688459,0.07,19.450813572,0.22,0.6179275996
00720039,Hermes,57568.5039914,-27.9392623082,0.04,16.2011619098,0.3,-0.127986151615
00720055,Hermes,57568.6213325,-26.8328155771,0.038,15.6831014999,0.32,-0.164699710649
00720120,Hermes,57568.6989278,-26.0307376918,0.037,15.3534266936,0.33,-0.201037908376
00720417,Hermes,57569.4913024,-18.0305246165,0.034,13.8934382657,0.4,-0.527297029876
00720433,Hermes,57569.6089969,-16.8374467312,0.035,14.0111792679,0.4,-0.64401504202
00720502,Hermes,57569.6864053,-16.0985532688,0.035,14.1760166711,0.4,-0.721384167934
00721403,Hermes,57571.5235931,1.44418442294,0.078,22.9359472386,0.3,-2.30235391429
00721876,Hermes,57572.5220844,-33.1008155771,0.079,20.1572595855,0.2,0.941126719762
