freq,gls,usurper,pdc_unbiased,shape_periodogram,shift_periodogram
0.5308137379954548,0.002024376672536866,-0.018314695982314538,-0.01847419749377966,-0.003062738200035207,-0.011304868395197785
0.5308926312656705,0.0019561815436576137,-0.02046329347377726,-0.018808481880110316,0.0007771152919629125,-0.014188055663981144
0.5309715245358863,0.0007143088488023801,-0.02112508189396499,-0.018416367652908782,-0.005677970465389015,-0.009464431887253365
0.531050417806102,2.8389833347596745e-05,-0.021565893845991963,-0.018869852074528192,-0.010981673095988784,-0.006146253243042033
0.5311293110763176,0.0016394852516201084,-0.016687478437798938,-0.015801756569929538,-0.008518091460492462,-0.005612590167197007
0.5312082043465333,0.005340719891058695,-0.01591139682215594,-0.015041307605120397,-0.010462244508632479,-0.003723220214411749
0.531287097616749,0.010102770886113608,-0.012712013400233434,-0.011160328355151202,-0.00864935914072969,-0.0021522524576890385
0.5313659908869647,0.012970210977716504,-0.015965353468780995,-0.012403362304337612,-0.010656535246172934,-0.001674143985031183
0.5314448841571804,0.013797259960600017,-0.015595595909114173,-0.011782233354949883,-0.013843595952211888,0.0009691569547486972
0.5315237774273961,0.015017890624707037,-0.015369283534283082,-0.012625683709766328,-0.013504330994093061,0.00012334563318274085
0.5316026706976118,0.013911391070032496,-0.006726117857811017,-0.006368747707668282,-0.004844602638550649,-0.0012907354547310984
0.5316815639678275,0.009485156823018216,-0.006842471569054296,-0.008137178799491235,-0.004128799942988651,-0.003066839418728943
0.5317604572380431,0.005316504760506142,-0.005286750603218959,-0.009189490829933122,-0.002281008155089915,-0.005101671253783209
0.5318393505082588,0.004614882935768256,0.0024723240449645066,-0.004858592563713192,0.0028602487950935727,-0.0054940609006047525
0.5319182437784745,0.009648629292677645,0.008614066948834655,0.001682242173984517,-0.00024107819107756684,0.0013869129535687493
0.5319971370486902,0.020381216572911146,0.010640711763586013,0.006007725870910964,-0.004650190879966578,0.007559323750942429
0.5320760303189059,0.03503135659573607,0.014865239986499539,0.014771432717062565,-0.004938534214772377,0.014118970158126758
0.5321549235891216,0.04577524569684234,0.006835381685359235,0.011493844200623726,-0.01107422563213402,0.01595973920109373
0.5322338168593373,0.045777194071797894,0.00032320441617308314,0.007962350128698866,-0.017074218223290416,0.017523855254865862
0.532312710129553,0.04411914863782698,0.001946005041356731,0.00995638721655972,-0.021467841280736522,0.021993397257057373
0.5323916033997687,0.041645428611933814,0.00025902140348325767,0.006533030358940097,-0.025253039108580913,0.02211369336886438
0.5324704966699844,0.03145427180482969,0.0039117385936317485,0.008506239952514927,-0.02468456914303648,0.023154304203480244
0.5325493899402001,0.019061957846224543,0.0024315553644094156,0.003781341017818976,-0.01225717161097585,0.011175783481419703
0.5326282832104158,0.009109253250467322,-0.0019108143031650387,-0.0031014615755604563,-0.007391289760773567,0.00283274608539834
0.5327071764806315,0.002470899073400456,0.0013644208565703644,-0.002129784742041368,-0.0013725210419355384,-0.0006018923479441998
0.5327860697508472,0.0013973646958264458,-0.002300851722617577,-0.007381778802757579,0.0026179172448344964,-0.007158892737226949
0.5328649630210629,0.005236941815882141,-0.0044233214861930685,-0.007908016745035721,-0.0025108568212677106,-0.004013320150639528
0.5329438562912785,0.011107723571963886,-0.004733065133633408,-0.005606506426293253,-0.0041931800260308835,-0.0011854802088109705
0.5330227495614942,0.014599647736311757,-0.00012321547591900018,-0.00031306225059262675,-0.002780828980092474,0.0016854997190138422
0.5331016428317099,0.01392612404005098,-0.002954537326267306,-0.002390549496813423,-0.005412377474256185,0.001987586004237086
0.5331805361019256,0.012478001925900171,-0.005559922775277081,-0.007547146111320305,-0.0042084535726400465,-0.0025837263397072907
0.5332594293721413,0.011086153763582596,-0.002143352295130122,-0.005549146940015569,-0.0023136879032568565,-0.0024366040724624763
0.533338322642357,0.008578355567586004,-0.0026671450580698446,-0.007320978042422556,-0.0010154101891917714,-0.0046157548738779385
0.5334172159125727,0.005754819629089577,-0.002786459200337809,-0.007994638135433777,0.0014593919208696707,-0.006806928905494609
0.5334961091827884,0.0037628076606835816,0.004674031305498751,-0.0012084166108589326,0.00951675454086621,-0.0074232000347034055
0.533575002453004,0.002889931470186169,0.0011238662774380338,-0.004872524053310522,0.007534840181394856,-0.008719476046690251
0.5336538957232198,0.003052399258538513,-0.00905933378593862,-0.012325688201017131,-0.0022607301639490187,-0.007392363357271472
0.5337327889934355,0.0035460406433753472,-0.01298849635841192,-0.012980078353568172,-0.007238682048625376,-0.0044437498956871576
0.5338116822636512,0.003293797142792241,-0.0168560142121594,-0.014010899096496762,-0.01241902080638845,-0.0016290545428614487
0.5338905755338669,0.002114519221045031,-0.01362521893252644,-0.010413550530795115,-0.011722581304844593,0.0005038724866785029
