unique_id   star_name      bjd   exp_time bary_corr RV_drift telluric_offset terruric_offset_err width_telfit rv rv_err n_lines depth_ccf depth_ccf_err sigma_ccf sigma_ccf_err snr  O_C wv_cal_file mask_file FF_file FF_file2 FF_file3  
01015411   alfUMi      2459472.7441338   30 11.938 0.000 0.048 0.001 2.150 -15.869 0.063  993 0.205 0.002 7.191 0.10 262.75  0.01    /projects/astro/mercator21/STARS/alfUMi/20210914/reduced/01015398_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20210914/reduced/01015355_HRF_FF_ext.fits
01018970   alfUMi      2459532.4801517   30 7.212 0.000 -0.004 0.001 2.098 -16.323 0.047  996 0.215 0.002 6.674 0.07 293.28  0.00    /projects/astro/mercator21/STARS/alfUMi/20211113/reduced/01018973_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20211113/reduced/01018923_HRF_FF_ext.fits
01019122   alfUMi      2459535.7090387   40 6.649 0.000 0.093 0.001 2.106 -14.628 0.059  998 0.216 0.002 6.567 0.09 231.27  0.01    /projects/astro/mercator21/STARS/alfUMi/20211116/reduced/01019110_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20211116/reduced/01019079_HRF_FF_ext.fits
01022101   alfUMi      2459593.6876780   30 -5.182 0.000 0.074 0.002 2.063 -13.139 0.088  998 0.220 0.003 6.969 0.14 169.16  0.01    /projects/astro/mercator21/STARS/alfUMi/20220113/reduced/01022089_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220113/reduced/01022036_HRF_FF_ext.fits
01022211   alfUMi      2459594.5429226   30 -5.346 0.000 0.042 0.001 2.156 -12.684 0.080  996 0.217 0.003 7.157 0.13 138.48  0.01    /projects/astro/mercator21/STARS/alfUMi/20220114/reduced/01022204_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220114/reduced/01022155_HRF_FF_ext.fits
01024858   alfUMi      2459628.5946805   30 -10.560 0.000 0.054 0.001 2.120 -15.252 0.078 1001 0.223 0.003 6.538 0.12 199.68  0.01    /projects/astro/mercator21/STARS/alfUMi/20220217/reduced/01024849_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220217/reduced/01024807_HRF_FF_ext.fits
01030535   alfUMi      2459647.4870475   50 -11.929 0.000 -0.106 0.003 2.031 -16.352 0.052 1001 0.212 0.002 6.856 0.08 348.50  0.01    /projects/astro/mercator21/STARS/alfUMi/20220308/reduced/01030538_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220308/reduced/01030480_HRF_FF_ext.fits
01030558   alfUMi      2459647.6975997  150 -11.933 0.000 0.048 0.002 2.013 -16.450 0.051 1001 0.213 0.002 6.794 0.08 335.15  0.00    /projects/astro/mercator21/STARS/alfUMi/20220308/reduced/01030538_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220308/reduced/01030480_HRF_FF_ext.fits
01030643   alfUMi      2459648.4897613   30 -11.965 0.000 -0.019 0.002 2.090 -15.798 0.055 1001 0.222 0.002 6.763 0.09 287.18  0.01    /projects/astro/mercator21/STARS/alfUMi/20220309/reduced/01030644_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220309/reduced/01030603_HRF_FF_ext.fits
01030652   alfUMi      2459648.5865715   40 -11.967 0.000 0.031 0.001 2.106 -15.520 0.057 1001 0.223 0.002 6.769 0.09 315.11  0.01    /projects/astro/mercator21/STARS/alfUMi/20220309/reduced/01030644_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220309/reduced/01030603_HRF_FF_ext.fits
01030757   alfUMi      2459649.5396426   30 -11.998 0.000 -0.005 0.001 2.130 -13.209 0.067 1001 0.225 0.002 6.868 0.11 285.04  0.01    /projects/astro/mercator21/STARS/alfUMi/20220310/reduced/01030752_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220310/reduced/01030708_HRF_FF_ext.fits
01030873   alfUMi      2459650.5315180   30 -12.025 0.000 0.002 0.001 2.107 -13.847 0.064 1001 0.219 0.002 6.930 0.10 268.62  0.01    /projects/astro/mercator21/STARS/alfUMi/20220311/reduced/01030865_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20220311/reduced/01030819_HRF_FF_ext.fits
