unique_id,instrument,bjd,rv,rv_err,fwhm,contrast,BIS
373294,Hermes,55816.54494480001,-17.5731844229,0.061,19.3801689706,0.27,-1.4066566002
373295,Hermes,55816.5456663,-17.592368845899998,0.061,19.3801689706,0.27,-1.41354557599
373387,Hermes,55817.602438400005,-18.7162623082,0.06,19.6862955765,0.27,-1.0271817472700002
373388,Hermes,55817.603159000006,-18.728262308199998,0.06,19.6862955765,0.27,-1.01693721203
373389,Hermes,55817.6038791,-18.7130778853,0.06,19.6862955765,0.27,-1.01939255434
373473,Hermes,55818.6008495,-20.7172623082,0.057999999999999996,19.3566207702,0.27,-0.7751395868250001
373474,Hermes,55818.601569000006,-20.6970778853,0.057999999999999996,19.3566207702,0.27,-0.7797090650759999
373475,Hermes,55818.602289400005,-20.7242623082,0.057999999999999996,19.3566207702,0.27,-0.783129988759
373563,Hermes,55819.593783599994,-19.523,0.057,19.1446869661,0.27,-1.09749756069
373564,Hermes,55819.5945051,-19.5613688459,0.057999999999999996,19.1446869661,0.27,-1.0994498680299998
373565,Hermes,55819.595224699995,-19.5623688459,0.057,19.1446869661,0.27,-1.10780332182
388078,Hermes,55895.774872099995,-17.8801844229,0.059000000000000004,18.5559819548,0.28,-1.50100170101
388079,Hermes,55895.7756589,-17.8691844229,0.059000000000000004,18.5559819548,0.28,-1.5016122343
388080,Hermes,55895.776370800006,-17.883368845899998,0.059000000000000004,18.5324337544,0.28,-1.50075918565
388412,Hermes,55896.672092400004,-17.7361065376,0.061,18.862108560699998,0.28,-1.48503001092
388413,Hermes,55896.6728007,-17.7049221147,0.061,18.8150121598,0.28,-1.45866771683
388550,Hermes,55897.502525,-19.7993401936,0.059000000000000004,18.8150121598,0.27,-1.14662816737
388551,Hermes,55897.5032518,-19.7941557706,0.059000000000000004,18.7914639593,0.27,-1.1275839182
388552,Hermes,55897.50396159999,-19.8083401936,0.059000000000000004,18.7914639593,0.27,-1.1256445972600002
388572,Hermes,55897.69803860001,-20.2372909606,0.057999999999999996,18.767915758900003,0.27,-1.09311070484
388573,Hermes,55897.6989569,-20.2382909606,0.057999999999999996,18.767915758900003,0.27,-1.09334220907
388574,Hermes,55897.703782599994,-20.2542909606,0.057999999999999996,18.7443675584,0.27,-1.09225173104
388743,Hermes,55898.4732709,-20.5828934624,0.057999999999999996,18.5559819548,0.28,-1.1290898678499999
388744,Hermes,55898.473983899996,-20.5798934624,0.057999999999999996,18.5324337544,0.28,-1.1058067652399999
388745,Hermes,55898.4747044,-20.5828934624,0.057999999999999996,18.5559819548,0.28,-1.11476247613
388881,Hermes,55899.5924727,-18.1512909606,0.06,18.4382409526,0.28,-1.56122921732
388882,Hermes,55899.5931928,-18.1542909606,0.06,18.4146927521,0.28,-1.5530333069600002
388883,Hermes,55899.5939138,-18.143290960599998,0.06,18.4382409526,0.28,-1.5842831977899998
389062,Hermes,55901.60606669999,-20.0196311541,0.059000000000000004,18.5795301553,0.28,-1.16975070291
389063,Hermes,55901.6069849,-20.001446731199998,0.057999999999999996,18.5795301553,0.28,-1.1476271223999999
389064,Hermes,55901.60783200001,-20.026631154100002,0.057999999999999996,18.5795301553,0.28,-1.15539740743
389082,Hermes,55901.7504781,-20.2923688459,0.059000000000000004,18.5088855539,0.28,-1.14537565626
389083,Hermes,55901.75118890001,-20.3135532688,0.059000000000000004,18.5324337544,0.28,-1.15546956873
389084,Hermes,55901.75190930001,-20.2983688459,0.059000000000000004,18.5324337544,0.28,-1.15922197971
491756,Hermes,56546.36726240001,-20.1023688459,0.054000000000000006,18.885656761099998,0.28,-0.7276845498350001
491770,Hermes,56546.4217017,-19.9701844229,0.054000000000000006,18.862108560699998,0.28,-0.750053861575
491776,Hermes,56546.4827101,-19.8050778853,0.054000000000000006,18.8385603602,0.28,-0.7641931781039999
491797,Hermes,56546.662563900005,-19.338,0.054000000000000006,18.862108560699998,0.28,-0.84935283083
491805,Hermes,56546.7395993,-19.136,0.054000000000000006,18.862108560699998,0.28,-0.8939033695649999
491808,Hermes,56546.75341240001,-19.101,0.054000000000000006,18.8385603602,0.28,-0.896467269979
491894,Hermes,56547.3747627,-17.6963688459,0.057,19.0740423648,0.28,-1.17488401248
491900,Hermes,56547.4330559,-17.6111844229,0.057,19.0740423648,0.28,-1.1928013609700001
492115,Hermes,56548.508619800006,-18.6621844229,0.057999999999999996,19.3095243693,0.27,-0.918716954673
492306,Hermes,56549.367092199995,-20.7106311541,0.055999999999999994,19.0504941643,0.27,-0.72709828111
492526,Hermes,56549.7523748,-20.886,0.055,18.862108560699998,0.28,-0.737313115494
492641,Hermes,56550.34457740001,-20.0361844229,0.054000000000000006,18.650174756600002,0.28,-0.82296554417
492734,Hermes,56550.39573150001,-19.914,0.053,18.626626556199998,0.28,-0.836798915535
492938,Hermes,56551.3448365,-17.6631844229,0.055999999999999994,18.720819358,0.29,-1.17561603149
492940,Hermes,56551.3505494,-17.633,0.055999999999999994,18.7443675584,0.29,-1.18443013338
492945,Hermes,56551.3706291,-17.618,0.055999999999999994,18.7443675584,0.29,-1.19315413296
