star,gls,shape,shift
ASASJ103158-5814.7,1.1191657809042086,nan,1.1191657809042086
BGCru,3.3423978622264165,3.3428467472468606,3.3423978622264165
QZNor,3.7865403931740618,3.7870573975969415,3.7865403931740618
RCru,5.826408814065731,5.826408814065731,5.826408814065731
V0391Cen,4.373854555854665,4.373854555854665,4.373854555854665
V1048Cen,0.9203068380320676,nan,0.9200525393755237
V1210Cen,4.498667351351417,110.96712800000148,0.8080130679611769
zetGem,0.997675380544748,5.014718810874246,10.656798536990866
