star,gls,shape,shift
ASASJ103158-5814.7,1.1191657809042086,1.0022427420724833,1.1191657809042086
BGCru,3.3423978622264165,3.0083196615905394,3.3423978622264165
QZNor,3.7865403931740618,3.7870573975969415,3.7865403931740618
RCru,5.826408814065731,5.826408814065731,1.2031087632290822
V0391Cen,4.373854555854665,4.373854555854665,4.373854555854665
V1048Cen,0.9203068380320676,nan,0.9175172609534363
V1210Cen,4.498667351351417,41.098936296296884,0.8099790364963622
zetGem,0.997675380544748,5.198754517437149,10.652371117573754
