star,period,gls,shape,shift,residual_gls,residual_shape,residual_shift
ASASJ103158-5814.7,1.1192,1.1191657809042086,0.996178799774873,1.1191657809042086,-3.421909579137683e-05,-0.12302120022512697,-3.421909579137683e-05
BGCru,3.34254,3.3423978622264165,366.04171882353126,3.3423978622264165,-0.0001421377735835172,362.69917882353127,-0.0001421377735835172
QZNor,3.786811,3.7865403931740618,3.7865403931740618,3.7865403931740618,-0.0002706068259383798,-0.0002706068259383798,-0.0002706068259383798
RCru,5.82568,5.826408814065732,5.825070025275732,5.826408814065732,0.0007288140657317754,-0.0006099747242682696,0.0007288140657317754
V1048Cen,0.9224049999999999,0.9203068380320676,,0.9175172609534364,-0.0020981619679323327,,-0.004887739046563477
V1210Cen,4.317,4.498667351351417,,0.8080130679611769,0.18166735135141643,,-3.508986932038823
zetGem,10.149531,0.9976753805447479,5.064242006715392,9.911193382296103,-9.151855619455251,-5.085288993284608,-0.2383376177038965
